nan,3.842105263000000000e+09,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
nan,2.210526316000000000e+09,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.486830827067642822e+11,4.956720939038129425e+10,1.410000000000000000e+02,1.000000000000000000e+00,6.700000000000000000e+01,1.030000000000000000e+02
2.748400000000000000e+13,1.508771930000000000e+09,3.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
2.507282967566604996e+10,1.473820662768333244e+10,5.430000000000000000e+02,3.100000000000000000e+01,1.650000000000000000e+02,3.980000000000000000e+02
5.622344497607727051e+11,6.986270022826086998e+09,2.300000000000000000e+01,1.000000000000000000e+00,1.600000000000000000e+01,1.900000000000000000e+01
2.074860197368437500e+11,1.222834008103076935e+10,6.500000000000000000e+01,5.000000000000000000e+00,3.400000000000000000e+01,5.500000000000000000e+01
1.909923722349275513e+11,7.434135338345713806e+10,7.000000000000000000e+01,2.000000000000000000e+00,2.800000000000000000e+01,4.900000000000000000e+01
7.225108359133529053e+11,9.663742690277778625e+09,1.800000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,1.600000000000000000e+01
8.994285714285714111e+11,3.333333333266666889e+09,1.500000000000000000e+01,1.000000000000000000e+00,7.000000000000000000e+00,1.400000000000000000e+01
2.982692542166216431e+11,6.528486586120233154e+10,2.600000000000000000e+02,1.000000000000000000e+00,9.400000000000000000e+01,2.160000000000000000e+02
2.477736842105000000e+12,1.447368421000000000e+10,2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
8.989525666016914062e+11,5.777697368417500305e+10,8.200000000000000000e+01,4.000000000000000000e+00,4.100000000000000000e+01,4.400000000000000000e+01
1.624369055167951660e+11,1.453169667590013184e+12,8.400000000000000000e+01,3.000000000000000000e+00,4.500000000000000000e+01,5.700000000000000000e+01
2.856315789473500000e+12,8.333333333000000000e+09,3.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
nan,3.410526315800000000e+10,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.468947368420000000e+11,6.326315789600000381e+09,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
6.193222782984721184e+09,2.243046243577282410e+11,1.899000000000000000e+03,2.200000000000000000e+01,1.800000000000000000e+01,3.200000000000000000e+01
nan,5.263157900000000000e+07,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.011842105260000000e+11,4.719298245666666985e+09,3.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
2.148421052631566797e+13,1.447368422500000000e+08,4.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
9.106578947368000000e+12,1.339473684200000000e+10,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.052900523962587357e+09,9.078199413009422302e+10,1.096000000000000000e+04,3.400000000000000000e+01,6.110000000000000000e+02,6.778000000000000000e+03
6.821184210526250000e+11,1.320467836233333397e+10,9.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00
3.225000000000000000e+11,7.894736840000000000e+08,3.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
4.460435047155433350e+11,1.246457371498771973e+11,1.740000000000000000e+02,2.000000000000000000e+00,6.700000000000000000e+01,8.500000000000000000e+01
6.932105263160000000e+11,1.184210526500000000e+09,2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
